,Feature,Permutation Importance
120,NumSaturatedHeterocycles,1.568478452448341e-05
150,fr_alkyl_halide,1.5553610726060095e-05
164,fr_epoxide,1.1842092621539014e-05
106,HeavyAtomCount,1.170535498496994e-05
198,fr_pyridine,1.1391944243654972e-05
129,fr_Ar_COO,1.0311050788869292e-05
51,PEOE_VSA13,1.0241779012487573e-05
128,fr_ArN,8.401210180852824e-06
182,fr_nitrile,6.518656959131341e-06
167,fr_furan,6.209542115109823e-06
154,fr_aniline,4.8897565798178276e-06
184,fr_nitro_arom,3.7629768046443248e-06
196,fr_priamide,3.7406924647598316e-06
139,fr_Imine,3.392242347766139e-06
165,fr_ester,3.040872998483213e-06
201,fr_sulfonamd,2.6415209435137753e-06
171,fr_hdrzone,1.6792265208454005e-06
200,fr_sulfide,1.4848125747479735e-06
160,fr_benzodiazepine,1.2803102209302252e-06
193,fr_phos_ester,7.704934703589572e-07
185,fr_nitro_arom_nonortho,5.88325379613508e-07
207,fr_thiophene,3.529582098704687e-07
143,fr_N_O,2.76414374100753e-07
209,fr_urea,3.3607081562081476e-09
138,fr_HOCCN,3.738876985792672e-10
204,fr_tetrazole,1.273092742337667e-10
175,fr_isothiocyan,0.0
158,fr_barbitur,0.0
69,SMR_VSA8,0.0
148,fr_aldehyde,0.0
206,fr_thiocyan,0.0
205,fr_thiazole,0.0
203,fr_term_acetylene,0.0
199,fr_quatN,0.0
10,NumRadicalElectrons,0.0
197,fr_prisulfonamd,0.0
156,fr_azide,0.0
137,fr_C_S,0.0
157,fr_azo,0.0
174,fr_isocyan,0.0
192,fr_phos_acid,0.0
149,fr_alkyl_carbamate,0.0
173,fr_imide,0.0
188,fr_oxime,0.0
187,fr_oxazole,0.0
186,fr_nitroso,0.0
147,fr_SH,0.0
162,fr_diazo,0.0
178,fr_lactam,0.0
82,SlogP_VSA9,0.0
163,fr_dihydropyridine,0.0
168,fr_guanido,0.0
86,EState_VSA11,0.0
153,fr_amidine,-2.003895231972308e-08
202,fr_sulfone,-4.5919313018671915e-08
80,SlogP_VSA7,-4.527090016304136e-07
125,fr_Al_COO,-1.7084618967877496e-06
183,fr_nitro,-2.7039626552594064e-06
142,fr_NH2,-4.7565966755369615e-06
