,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
mean,11.32766709433957,11.32766709433957,0.190077153046484,-0.17048635876756582,0.6680607414606425,16.19827910434877,308.24809514285715,286.1867191428572,307.9157883809326,116.86971428571428,0.0,0.21310114788198703,-0.3937664898735265,0.39420140894055666,0.21268249370603523,1.141290491153095,1.8429978247284213,2.5078456046188715,23.687939893909356,9.96786809623677,2.2468042298284487,-2.226937417983779,2.2799160929320226,-2.3190449722960063,6.260181543025067,0.07126085126614227,2.750444521588456,2.0518290070050123,676.9265098975426,15.753139799790283,13.116146658218486,13.35796084984537,10.700403729835044,7.825835720249853,7.972620622758492,5.940555660420785,6.105116413009932,4.280976128572203,4.405106128912051,3.078485924754427,3.1689115054888695,-1.9426514285714283,18597412.26179302,15.442952208140362,6.718494970375702,3.3201144863302834,132.72681840244178,9.411664315194944,4.325815053732883,3.5828615038100726,1.6991238090875298,1.489509903170618,1.015387373431886,6.188284626551578,1.3644739975905176,0.64778035838566,0.7891945106495233,35.607340971156525,36.98436208819199,21.210069606467957,8.153292919964231,8.811116336818905,15.805233341221403,0.034662368531740366,6.686040659607787,3.3524500678266103,32.558785543805385,12.853032707526278,49.50640016038629,0.0,2.8614398516615176,5.415830507060546,2.3046867861358704,2.4921518163155114,3.116146628104419,27.72648818553871,7.984420990233984,4.015042141038211,32.8208608690251,39.83712580573473,0.7447005185837735,6.011706789615067,0.0,41.50994,3.2101865643563587,6.165885679159814,0.0,9.936097619366342,10.190649466067885,28.068417733938333,11.322535486181154,8.364626372578963,27.969673098656465,21.54495153990185,5.6961374771787545,6.798673424932511,1.1545812895473644,13.225421145297963,4.662018095269794,2.6984006919943777,0.3510935668195654,11.668295455195754,3.2891665194414266,3.679798324971896,0.9789108516087124,0.39748436028421597,22.118285714285715,0.8691428571428571,3.4817142857142858,0.31,0.49114285714285716,0.8011428571428572,1.5211428571428571,0.4928571428571429,2.014,2.978285714285714,0.7334285714285714,3.946285714285714,4.941714285714285,0.25657142857142856,0.298,0.5545714285714286,2.815142857142857,3.5738668914285734,88.8767192571429,0.03685714285714286,0.08485714285714285,0.068,0.0074285714285714285,0.008,0.6342857142857142,0.046,0.04285714285714286,0.04485714285714286,0.04485714285714286,0.8625714285714285,0.8177142857142857,0.00028571428571428574,0.0025714285714285713,0.08571428571428572,1.2457142857142858,0.4237142857142857,0.1357142857142857,0.0017142857142857142,0.25142857142857145,0.20657142857142857,0.046,0.0,0.00028571428571428574,0.0,0.10285714285714286,0.028285714285714286,0.404,0.01,0.202,0.36428571428571427,0.0,0.0,0.0,1.5211428571428571,0.040857142857142856,0.8294285714285714,0.0,0.0,0.001142857142857143,0.11085714285714286,0.536,0.02142857142857143,0.0,0.42342857142857143,0.0005714285714285715,0.0025714285714285713,0.02,0.0,0.0,0.0,0.2965714285714286,0.19428571428571428,0.0,0.0025714285714285713,0.30542857142857144,0.017714285714285714,0.006,0.027428571428571427,0.027428571428571427,0.025714285714285714,0.0,0.0,0.0,0.4574285714285714,0.04171428571428572,0.04171428571428572,0.0005714285714285715,0.0005714285714285715,0.19371428571428573,0.018571428571428572,0.04657142857142857,0.0,0.03485714285714286,0.0,0.011428571428571429,0.004571428571428572,0.00028571428571428574,0.0,0.0005714285714285715,0.0008571428571428571,0.0,0.019142857142857142,0.36257142857142854,0.0005714285714285715
std,2.9936331715636344,2.9936331715636344,0.20041087943359628,0.5848887212124319,0.17367059328874188,6.379171357196869,77.47279311563805,73.38372823746799,77.3911949340128,28.991787573433996,0.0,0.0793059720171402,0.07760168989735633,0.07777228051693957,0.07809250088105779,0.1805728850716386,0.20660246875265775,0.23652905382296238,18.39823818638708,0.14492955865007695,0.14183265284154728,0.1495591868296806,0.12518829795670014,0.18167344214682818,1.2211753395850502,0.24609217250881243,0.34107139686921745,0.4239449822389012,286.572759241312,3.8860461586144774,3.283912553292353,3.2536704994647314,2.7947751473780715,2.1467323565700207,2.1241295626164534,1.8542513317424674,1.8305357985556914,1.5235282869892046,1.5161352512672421,1.3169281970026014,1.309489739152454,0.772800439082521,569548795.9289252,3.818353387377618,1.88079610939548,1.1255151460309043,32.882600567425285,5.117114952974691,5.0584105117326965,4.6135387333329625,2.9434297407748664,2.685084969048941,2.4439173451475584,4.608737591399636,2.487480539736939,1.8398375727802307,3.073419457276218,20.063867627877787,14.079810964325207,13.482357087003464,7.274624558953221,5.360599106088871,10.555782181806721,0.426257726211521,4.470246672352678,5.20598349773074,17.500881088110532,10.48019738771939,21.480937920511433,0.0,4.706402650355373,4.813040411224155,3.415857821140187,4.571004831134979,6.636664987336555,12.628512151386138,5.286501025692085,5.514490219701137,16.22384939097564,19.244385061924326,2.1345429544421433,7.757495074342633,0.0,21.596223056938904,6.865909686878786,4.4468307598848495,0.0,6.970563931757525,8.38699816623849,16.782908441365134,13.435232660185488,10.14536786913261,19.32237087780569,17.889137738248184,6.291750006392159,6.967449010470562,2.7097804336067095,8.068936612449674,5.34062793277151,2.07173554749673,0.9844938911572827,6.113877325569785,2.9087290676725566,2.6946990668067,1.5232363734360712,0.15513599840825243,5.7022187414289105,0.9185253892536044,1.4878597707525387,0.8105213392522473,0.6190104089726872,1.0246456289492174,0.7230803697263315,0.5739962419631108,1.0202737669804485,1.1966359575195482,0.7161008822817618,1.6278427079303708,2.326464033628561,0.7533100923330618,0.4882693656384415,0.8863024941945377,1.2447543466144764,1.4619817286358068,22.363013127917892,0.1914471807757583,0.2946592475791052,0.26179847126017286,0.08588070236903844,0.08909695885153834,0.8580079739837827,0.20951501585591945,0.20256389517741472,0.20976274283083873,0.20976274283083873,0.6514426264921289,0.6201581158691579,0.01690308509457087,0.05065125211313187,0.2870381284642457,1.0345124359213567,0.49996619328000763,0.345855184431832,0.04137434029426133,0.4601100981427618,0.40490309375319583,0.20951501585591945,0.0,0.016903085094570714,0.0,0.3308348229432075,0.25871476163838447,0.5911474206449039,0.09951296086351165,0.43173152772527473,0.5587864290608636,0.0,0.0,0.0,0.7230803697263315,0.19798746540980186,0.9298284693003693,0.0,0.0,0.03379167458201853,0.33768178493085793,0.8378827138247401,0.14872311349556144,0.0,0.6189534855729375,0.023901156027729933,0.050651252113131894,0.1400200042867331,0.0,0.0,0.0,0.4586842201517182,0.39570634775925134,0.0,0.05065125211313164,0.6826341514472843,0.13192976459194045,0.07723797308964457,0.1633519784406994,0.1633519784406994,0.158304204895871,0.0,0.0,0.0,0.5603495972066782,0.19996406813957643,0.19996406813957643,0.023901156027730307,0.023901156027730307,0.4010067761166686,0.13502495947314444,0.21344414829665947,0.0,0.1865339674103291,0.0,0.1063070463071817,0.07157809035467333,0.016903085094570718,0.0,0.02390115602773006,0.029268633744040918,0.0,0.14316616232442403,0.7397768248201615,0.02390115602773073
min,2.2430555555555554,2.2430555555555554,5.285756277850773e-05,-4.549750824969905,0.1548295198635936,9.083333333333334,115.22,98.084,115.136099544,50.0,0.0,-0.0108342740331321,-0.6230036501577716,0.0653821954369082,0.0010530253157478,0.55,0.9,1.25,14.21069096372137,9.328571939882968,1.9369749721827212,-2.751901221556286,1.998310711111909,-2.8281295837999414,4.537726524117757,-0.4428462394465275,1.6135681581652277,1.2532024715077443,40.34851554559677,6.568914100752346,5.8259089347035555,5.8259089347035555,3.625897657686229,3.34113112960295,3.34113112960295,2.286973876163908,2.286973876163908,1.199358737117772,1.199358737117772,0.5962250448649378,0.5962250448649378,-4.059999999999999,40.339203954130696,5.927256649464839,1.8200897383602357,0.8296857606552734,52.268794411221904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0271690759637184,-0.8774074074074074,-4.7873590099875285,-4.492358506977846,-0.1536612259072118,-5.488150602252407,-1.7175971592340644,-7.019308954291591,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4816999999999998,37.72139999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,11.513194444444444,11.513194444444444,0.059502413233812126,-0.4084722222222223,0.5819800867280783,12.26923076923077,244.382,222.18199999999996,244.193948768,92.0,0.0,0.1687059057512633,-0.4687891980278794,0.3230509114231398,0.1687059057512633,1.0357142857142858,1.7083333333333333,2.357142857142857,16.24996863616492,9.93231554359679,2.16046602575348,-2.3442510036733775,2.2255314546995,-2.4747816600139245,5.910085821805625,-0.12083528584328528,2.526566549040581,1.756792228471544,412.6586802407125,12.365258285812839,10.359949497496205,10.60044854936057,8.291223660084839,6.064607622164782,6.221179327072503,4.382762903755458,4.608780996468253,3.077007585064565,3.279331979480548,2.1306680581888675,2.2615533219635315,-2.529999999999999,10961.15918883099,12.27336778775363,5.211205171847472,2.485388541586719,103.49812796675548,5.316788604006331,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,19.056471336613843,29.177543166478607,6.4208216229260096,0.0,4.794537184071822,5.783244946364939,0.0,4.567099647791355,0.0,19.386399651764595,6.544756405912575,33.807819324564484,0.0,0.0,0.0,0.0,0.0,0.0,18.369842181425476,4.794537184071822,0.0,18.90801031431363,24.26546827384644,0.0,0.0,0.0,23.550000000000004,0.0,4.794537184071822,0.0,5.783244946364939,5.563451491696996,12.965578028838586,0.0,0.0,12.13273413692322,6.06636706846161,0.0,0.0,0.0,8.764039588057445,0.5239177584614096,1.1737422839506175,-0.1290499811035523,6.804240362811791,0.8708356953892666,1.8564814814814816,0.0,0.2916666666666667,17.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.3762000000000008,69.26820000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,12.623142467826586,12.623142467826586,0.11119449168556289,-0.1088180272108847,0.7237618496361875,14.448621553884713,328.4665000000001,307.09499999999997,328.05494509600004,122.0,0.0,0.22645926388414583,-0.36787916174782953,0.3678791617478549,0.22645926388414583,1.148148148148148,1.8571428571428572,2.4827586206896552,16.52991102085899,10.00228144248062,2.2325880523048434,-2.190931264469216,2.2707971081222422,-2.353284378653931,6.043818215871566,0.0834698611935561,2.813270042460836,1.9696405893815672,703.6506996962086,16.444088049601127,13.480889679363102,14.140789905674513,11.163869018582144,8.153904078988372,8.310847240736084,6.128700826034543,6.402530897129352,4.34158768075351,4.444917884574462,3.012732473703782,3.121809990251918,-1.8799999999999992,237718.01129431967,16.016147790497016,6.779775876048729,3.2072073846909843,140.38987365362073,9.799819461700954,5.538925252383345,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,36.043523026317054,36.60419594293385,19.007418857986544,6.103966387748303,9.184952231746642,16.686169878445995,0.0,5.316788604006331,0.0,32.22804289761662,13.08951281182515,36.02576333715651,0.0,0.0,5.316788604006331,0.0,0.0,0.0,26.1790256236503,6.544756405912575,0.0,31.749653560165648,30.462311845459514,0.0,0.0,0.0,38.33,0.0,4.794537184071822,0.0,11.4706312210485,6.606881964512918,27.238824852707644,6.06636706846161,6.06636706846161,27.694948798762496,16.36998843774581,4.736862953800049,5.246601946334089,0.0,13.450941365182436,3.168848566665993,2.279723037554477,0.12170421774801826,9.755999622071052,3.122085802104741,3.1837433900288925,0.0,0.4090909090909091,23.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,4.0,5.0,0.0,0.0,0.0,3.0,3.4936000000000016,92.96070000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,13.099888708990893,13.099888708990893,0.2586574074074077,0.1175028344671196,0.7895815472927565,17.8,370.4680000000002,344.2880000000001,370.180504196,142.0,0.0,0.2697573303220583,-0.321179443398042,0.46993115982752054,0.2697573303220583,1.2692307692307692,1.96,2.6666666666666665,19.142145097191293,10.049273642467671,2.307172877680036,-2.098444504676752,2.321982904549694,-2.1703342802734316,6.209326518222762,0.1036788857952622,3.027816067512332,2.2642480935513905,877.6919183981504,19.139617433688315,15.853913361053996,15.980557212878155,13.155728303040547,9.531087271817709,9.602539538733785,7.294254584265052,7.412283707489862,5.28870553572035,5.38127599787353,3.826541564855706,3.9074352191899826,-1.2799999999999998,1667507.345325194,18.56750133161122,8.166866475809686,4.138032206580369,160.0364566369246,14.203872332441884,6.041840829147961,5.783244946364939,5.897745344357611,0.0,0.0,9.589074368143644,4.39041504767482,0.0,0.0,48.89021762134342,44.27871828536221,33.03082987599028,12.238042463971905,13.92181518554669,22.779409949384412,0.0,9.799819461700954,5.733667477162185,45.06968614346863,20.640100371266954,66.2271221763131,0.0,5.749511833283905,5.733667477162185,4.39041504767482,5.749511833283905,0.0,36.48319950708767,11.339293589984395,5.917906046161393,42.96501236716348,54.59730361615449,0.0,10.902924932081056,0.0,49.48,4.923311048817671,9.184952231746642,0.0,12.457835918639848,16.590023033395227,40.886098977885254,16.690354475090988,13.971409182367816,42.15548227284915,31.296997140310797,9.473725907600098,12.392859977324264,0.0,17.322127415031975,7.953236271921789,3.2707726845273077,0.9004403041443086,16.640151882227592,4.970528361040025,5.185153861334824,1.7596979542845943,0.5,27.0,1.0,4.0,0.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,5.0,7.0,0.0,1.0,1.0,4.0,4.539100000000004,108.33200000000006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,14.62781699528092,14.62781699528092,1.1783042800453514,1.1783042800453514,0.9443177013665476,64.38461538461539,645.7460000000003,598.3700000000002,645.3149113239998,254.0,0.0,0.5857872185319888,-0.0653821954369082,0.6230036501577716,0.4195984440811116,1.7272727272727273,2.5,3.1538461538461537,126.91270448286278,10.505084924959489,2.918851923473985,-1.9198806200167529,2.8027642946227713,-1.8472681636601336,14.111951024021035,0.9905144229664123,3.5698354029748742,4.16560476512675,1398.6033694139658,32.973962536829134,27.327978918677495,27.327978918677495,21.98581973749378,16.34437897064099,16.34437897064099,14.421626678765158,14.421626678765158,13.16153148777505,13.16153148777505,12.31084708498634,12.31084708498634,-0.04,19460254488.887615,32.39018305769474,19.71127914555078,18.724715123833807,268.7616459053468,43.74075990732241,24.2298052094063,23.386235000681054,20.046582306815168,15.710677428091143,17.907915863855546,24.80116991632354,21.974567706265816,13.17124514302446,22.67357175586947,105.403428512934,90.58312923057385,82.95404530006502,56.16894120062187,53.329834275466055,45.02886348555995,5.409283605791522,29.54826124704159,34.50160512343913,115.69872399565476,52.54442792310162,119.69992491467416,0.0,23.31775681264399,24.264240419206526,23.24904646538284,22.99804733313562,38.8676696661166,134.16142821032966,33.38873759768743,34.50160512343913,109.805344188807,97.19234959853726,15.067899941223978,32.80227634440464,0.0,153.45000000000002,88.34820960163862,24.90865655266576,0.0,40.94852241870357,51.00494198412533,86.61127071847741,82.61331096680914,58.884154272299554,79.20872123494019,85.80581516643612,34.802819670697545,53.163164961257934,18.62056185095871,51.18867931032478,37.269461247586406,12.477773787285386,4.688021817947483,31.539917970817346,27.99897035978073,14.399738466311163,6.898513209942805,1.0,46.0,5.0,12.0,5.0,5.0,7.0,4.0,3.0,5.0,12.0,4.0,12.0,18.0,5.0,3.0,6.0,8.0,7.882700000000006,160.46789999999964,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,8.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,6.0,0.0,0.0,1.0,3.0,6.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,10.0,1.0
